language,whatlang_avg,whatlang_word,whatlang_2words,whatlang_text,langram_max_3grams_avg,langram_max_3grams_word,langram_max_3grams_2words,langram_max_3grams_text,langram_all_ngrams_avg,langram_all_ngrams_word,langram_all_ngrams_2words,langram_all_ngrams_text
Afrikaans, 52,24,40,92, 83,66,85,99, 88,73,91,99
Akan, ,,,, ,,,, ,,,
Amharic, 99,100,100,99, 99,100,100,99, 99,100,100,99
Arabic, 90,85,87,99, 98,96,99,99, 98,96,99,99
Armenian, 99,100,100,99, 99,100,100,99, 99,100,100,99
AzerbaijaniNorth, 79,60,80,97, 91,79,94,99, 93,84,97,99
Belarusian, 87,73,92,97, 97,94,99,99, 98,95,99,99
Bengali, 100,100,100,100, 100,100,100,100, 100,100,100,100
Bulgarian, 67,42,64,95, 87,72,90,99, 89,76,93,99
Burmese, 99,100,100,99, 99,100,100,99, 99,100,100,99
Catalan, 50,22,37,92, 81,61,84,99, 85,68,89,99
ChineseMandarinSimplified, 99,100,100,99, 75,56,70,97, 75,56,70,97
Croatian, 56,32,51,86, 85,70,90,95, 88,74,93,96
Czech, 69,46,68,95, 89,74,93,99, 91,80,96,99
Danish, 57,34,52,85, 85,69,89,95, 88,74,93,96
Dutch, 50,25,40,83, 84,66,89,97, 87,72,93,97
English, 44,15,24,95, 80,57,83,99, 85,67,89,99
Esperanto, 54,33,48,82, 90,77,95,99, 94,85,97,99
Estonian, 72,51,74,92, 94,87,98,96, 96,91,99,96
Filipino, 69,45,63,97, 89,77,91,99, 92,81,96,99
Finnish, 74,55,78,89, 94,87,97,97, 96,92,99,98
French, 62,35,55,97, 88,74,91,99, 91,79,95,99
Georgian, 99,99,100,100, 99,99,100,100, 99,99,100,100
German, 67,43,62,97, 89,75,92,99, 92,81,96,99
Greek, 99,99,100,98, 99,100,100,98, 99,100,100,98
Gujarati, 100,100,100,100, 100,100,100,100, 100,100,100,100
Hebrew, 94,91,92,98, 98,97,99,99, 99,98,99,99
Hindi, 65,57,50,89, 82,69,84,94, 87,76,90,96
Hungarian, 75,58,77,91, 93,86,97,97, 95,90,98,97
Indonesian, 60,36,51,94, 82,63,84,99, 85,67,88,99
Italian, 52,21,41,93, 86,70,91,98, 89,74,94,98
Japanese, 31,-,-,94, 77,58,74,99, 77,58,74,99
Javanese, 47,20,32,89, 78,56,79,99, 82,62,84,99
Kannada, 100,100,100,100, 100,100,100,100, 100,100,100,100
Khmer, 99,100,100,99, 99,100,100,99, 99,100,100,99
Korean, 33,-,-,99, 57,51,21,99, 57,51,21,99
Latin, ,,,, ,,,, ,,,
Latvian, 82,68,87,91, 92,82,96,97, 93,86,97,97
Lithuanian, 77,58,81,92, 94,86,97,98, 95,89,98,99
Macedonian, 63,42,59,88, 88,75,90,98, 89,77,92,98
Malayalam, 99,100,100,99, 99,100,100,99, 99,100,100,99
Marathi, 72,51,70,93, 93,84,96,99, 94,87,97,99
Nepali, 69,50,63,93, 95,88,96,99, 95,89,97,99
NorwegianBokmal, 46,25,39,75, 80,62,82,98, 85,69,89,98
Odia, 100,100,100,100, 100,100,100,100, 100,100,100,100
PersianWestern, 64,41,60,90, 93,86,96,99, 94,87,97,99
Polish, 80,64,83,93, 93,84,97,98, 94,87,98,98
Portuguese, 62,33,56,97, 83,66,85,99, 87,72,90,99
PunjabiEastern, 99,100,100,99, 99,100,100,99, 99,100,100,99
Romanian, 69,47,68,92, 88,73,92,99, 90,77,95,99
Russian, 76,59,75,94, 93,84,96,99, 95,88,98,99
Serbian, 67,45,61,95, 90,79,93,99, 92,81,95,99
Shona, 77,58,78,96, 95,90,98,99, 97,93,99,99
Sinhala, 100,100,100,100, 100,100,100,100, 100,100,100,100
Slovak, 65,44,64,89, 88,75,93,96, 91,80,96,97
Slovene, 53,32,47,80, 85,71,89,96, 88,76,93,97
Spanish, 52,24,40,93, 82,61,85,99, 85,68,89,99
Swedish, 60,36,57,88, 83,67,89,94, 88,74,93,96
Tamil, 99,100,100,99, 99,100,100,99, 99,100,100,99
Telugu, 100,100,100,100, 100,100,100,100, 100,100,100,100
Thai, 100,100,100,100, 100,100,100,100, 100,100,100,100
Turkish, 67,40,65,95, 90,76,94,99, 92,81,97,99
Turkmen, 80,60,83,97, 94,85,97,99, 95,89,99,99
Ukrainian, 81,64,82,97, 92,81,95,99, 94,87,98,99
Urdu, 62,38,53,95, 89,78,91,98, 91,82,94,98
UzbekNorthern, 73,53,73,94, 94,85,97,99, 96,90,98,99
Vietnamese, 83,65,86,99, 90,79,93,99, 91,80,94,99
YiddishEastern, 81,65,83,95, 97,94,99,99, 98,95,99,99
Zulu, 77,57,78,97, 96,90,98,99, 97,93,99,99
